year,나이,pec
2000,0-14,21.1
2000,15-64,71.7
2000,65세이상,7.2
2001,0-14,20.8
2001,15-64,71.7
2001,65세이상,7.5
2002,0-14,20.4
2002,15-64,71.7
2002,65세이상,7.9
2003,0-14,20
2003,15-64,71.8
2003,65세이상,8.2
2004,0-14,19.6
2004,15-64,71.8
2004,65세이상,8.6
2005,0-14,19.1
2005,15-64,71.9
2005,65세이상,9
2006,0-14,18.5
2006,15-64,72.1
2006,65세이상,9.3
2007,0-14,17.9
2007,15-64,72.3
2007,65세이상,9.8
2008,0-14,17.3
2008,15-64,72.5
2008,65세이상,10.2
2009,0-14,16.7
2009,15-64,72.8
2009,65세이상,10.5
2010,0-14,16.1
2010,15-64,73.1
2010,65세이상,10.8
2011,0-14,15.6
2011,15-64,73.4
2011,65세이상,11
2012,0-14,15.1
2012,15-64,73.4
2012,65세이상,11.5
2013,0-14,14.7
2013,15-64,73.4
2013,65세이상,11.9
2014,0-14,14.2
2014,15-64,73.4
2014,65세이상,12.4
2015,0-14,13.8
2015,15-64,73.4
2015,65세이상,12.8
2016,0-14,13.4
2016,15-64,73.4
2016,65세이상,13.2
2017,0-14,13.1
2017,15-64,73.1
2017,65세이상,13.8
