state,2008,2009,2010,2011,2012
alabama,58.8,61.6,60,57,54.1
alaska,53,55.3,49.4,49.4,50
arizona,38.6,39.9,39,36.8,37.1
arkansas,67.8,64.7,63,61.3,60.8
california,38.1,37.8,36.6,34.8,33.2
colorado,36.5,36.2,35.2,32.7,31.4
connecticut,43.8,43,44.3,40.7,37.6
delaware,58,51.9,58.3,52.1,52.4
d.C.,49.6,41.5,38.5,40,40.3
florida,48.9,48,47.5,45.3,44.5
georgia,50.9,51.7,49.4,48.5,48.7
hawaii,35.8,34.4,34.1,32.8,29.5
idaho,41.9,41.4,38.8,37.6,36.4
illinois,52.1,50.3,49.9,48.6,47.9
indiana,62.1,59.3,58.7,54.5,54.7
iowa,50.5,48.7,47.8,46.8,46.2
kansas,51.8,51.3,48.3,47.5,46.4
kentucky,74.2,68.8,74.1,69.2,68.8
louisiana,60.1,58.6,58,56.5,55.5
maine,56.7,53.6,55.7,52.1,53.3
maryland,50.1,48.6,46.1,43.8,43.5
massachusetts,49.3,48.7,47.4,44.9,44.4
michigan,54.4,54,52.3,51,49.6
minnesota,45.3,42.8,41.7,39.7,38.9
mississippi,65.3,62.4,62,59.4,58
missouri,60.1,57.1,57.3,55.1,55.9
montana,48.1,40.3,40,47.6,39.1
nebraska,45.3,44.4,46.1,42.2,43.2
nevada,53.5,51.9,47.4,48.6,46.1
new hampshire,47.5,50.4,46.1,51.6,46.8
new jersey,45.1,42.8,42.4,41.3,39.5
new mexico,36.2,32.5,34.3,30.9,32.7
new york,43.1,42.2,42.3,41.1,41.1
north carolina,56.3,53.8,54,52.4,49.8
north dakota,45.2,39.4,37.5,41.2,42.3
ohio,57.2,56.8,54.9,54.6,54.3
oklahoma,60,60,58.1,59.6,55.4
oregon,49.8,48.2,47.2,45.9,45.3
pennsylvania,51.6,49.4,49.1,47.6,46.9
rhode Island,56.7,49.1,49,47.7,48.3
south carolina,55.8,54.8,52.8,52,51.7
south dakota,47.3,41.1,45.3,47.2,43.7
tennessee,63.3,63.4,62.7,59.4,58.4
texas,46,44.6,43.5,42.5,40.8
utah,17.9,20.9,21.7,20.1,20.3
vermont,52.4,50.4,53.9,49.3,42.4
virginia,50.7,49.7,48.7,47.4,46
washington,47.9,47.3,47,43.8,42.3
west virginia,64,65.5,65.1,62,59.8
wisconsin,47,45.4,46.3,47.4,43.5
wyoming,41.3,42.1,40,38.4,37.3
U.S. Total,49.5,48.4,47.6,46,44.9
