sex,year,pec
Males,1996,27.27
Females,1996,22.25
Both,1996,24.71
Males,1997,27.11
Females,1997,22.19
Both,1997,24.61
Males,1998,26.95
Females,1998,22.14
Both,1998,24.5
Males,1999,26.97
Females,1999,22.16
Both,1999,24.52
Males,2000,26.89
Females,2000,22.12
Both,2000,24.46
Males,2001,26.9
Females,2001,22.07
Both,2001,24.44
Males,2002,26.93
Females,2002,22.05
Both,2002,24.45
Males,2003,26.69
Females,2003,21.72
Both,2003,24.16
Males,2004,26.19
Females,2004,21.3
Both,2004,23.7
Males,2005,25.73
Females,2005,21
Both,2005,23.32
Males,2006,25.1
Females,2006,20.52
Both,2006,22.77
Males,2007,24.6
Females,2007,20.09
Both,2007,22.3
Males,2008,24.04
Females,2008,19.49
Both,2008,21.72
Males,2009,23.58
Females,2009,19.04
Both,2009,21.27
Males,2010,23.23
Females,2010,18.63
Both,2010,20.89
Males,2011,22.88
Females,2011,18.4
Both,2011,20.6
Males,2012,22.16
Females,2012,17.87
Both,2012,19.97
