year,1범,2범,3범,4범,5범,6범,7범,8범,9범이상
1994-01-01,38.60332739,21.04053437,12.97481641,8.323943078,5.577894868,3.830560511,2.656598764,1.87810646,5.114218147
1995-01-01,36.35780802,20.96004523,13.28484149,8.688170351,5.938502202,4.066874447,2.918544487,2.049246613,5.735967163
1996-01-01,34.96938721,20.75959675,13.45170451,8.935837326,6.184654937,4.279773534,3.017107827,2.166837805,6.235100109
1997-01-01,33.60531848,20.6236718,13.59349963,9.137564634,6.343996818,4.440479573,3.159497699,2.303539974,6.792431388
1998-01-01,31.84985056,20.34575955,13.84611302,9.409974205,6.567877321,4.694942013,3.37657144,2.433470237,7.475441652
1999-01-01,30.02459009,19.52831349,13.74262145,9.726473464,6.8375964,4.948809182,3.660163102,2.698628835,8.832803994
2000-01-01,28.84510894,19.22496347,13.43117661,9.712627001,6.980891456,5.152357719,3.867691139,2.845141663,9.940042004
2001-01-01,27.89817847,18.7509002,13.31550528,9.648912233,7.109215214,5.238230126,4.067404114,2.989159137,10.98249522
2002-01-01,27.14136767,18.29367534,13.2014432,9.653628352,7.174206847,5.393978045,4.12930184,3.098916803,11.9134819
2003-01-01,27.81174088,18.76916293,13.3633272,9.561809267,7.010806772,5.267025668,4.003445756,3.002625143,11.21005638
2004-01-01,27.52293075,18.74435439,13.29537502,9.560077086,6.972530062,5.228321261,3.996033007,3.101815831,11.57856258
2005-01-01,26.09958479,18.04901856,13.0679752,9.545543884,7.176272535,5.486268898,4.140646586,3.295027597,13.13966196
2006-01-01,25.29014511,17.59508552,12.81580635,9.487593896,7.236910084,5.531814097,4.232716554,3.404050821,14.40587757
2007-01-01,25.16574065,17.37903207,12.7568601,9.355006227,7.098010561,5.481918575,4.230809884,3.403875937,15.128746
2008-01-01,25.03731635,17.40914185,12.77027203,9.321528797,7.052225514,5.383806702,4.209492863,3.350130759,15.46608513
2009-01-01,24.60742938,17.08353456,12.55766472,9.245907607,7.065640475,5.376334398,4.211146591,3.393478841,16.45886343
2010-01-01,23.95402005,16.64305851,12.35298193,9.061802214,6.995155798,5.377863755,4.408064078,3.456596695,17.75045698
2011-01-01,23.8554554,16.38664353,12.2833994,8.964737305,6.896774679,5.335016764,4.201992843,3.501347215,18.57463287
2012-01-01,23.85500014,16.0834122,12.06037837,8.877871462,6.840005927,5.324452474,4.201320179,3.419226247,19.338333
2013-01-01,23.14987122,16.13611597,11.76384841,8.767223452,6.911128692,5.354096892,4.223441411,3.408894537,20.28537942
2014-01-01,23.03867865,16.06306057,11.65080629,8.749816903,6.812313347,5.373076872,4.115908835,3.370445111,20.82589342
2015-01-01,22.77961058,15.79816795,11.50045096,8.712419348,6.840175024,5.367690508,4.183004347,3.400470334,21.41801096
2016-01-01,22.68640925,15.70375595,11.50569044,8.658810705,6.90604793,5.401422409,4.214325546,3.373040637,21.55049713
2017-01-01,22.64351015,15.74913042,11.51078223,8.640515688,6.781738085,5.37987664,4.121134849,3.355247869,21.81806406
