year,종류,건
1990,발생건수,1147752
1990,검거,1049005
1991,발생건수,1185648
1991,검거,1090413
1992,발생건수,1210786
1992,검거,1107818
1993,발생건수,1304349
1993,검거,1248010
1994,발생건수,1309326
1994,검거,1184208
1995,발생건수,1329694
1995,검거,1202059
1996,발생건수,1419811
1996,검거,1287260
1997,발생건수,1536652
1997,검거,1398384
1998,발생건수,1712233
1998,검거,1579728
1999,발생건수,1654064
1999,검거,1574902
2000,발생건수,1739558
2000,검거,1543219
2001,발생건수,1860687
2001,검거,1642118
2002,발생건수,1833271
2002,검거,1694342
2003,발생건수,1894762
2003,검거,1679249
2004,발생건수,1968183
2004,검거,1761590
2005,발생건수,1733122
2005,검거,1512247
2006,발생건수,1719075
2006,검거,1483011
2007,발생건수,1836496
2007,검거,1615093
2008,발생건수,2063737
2008,검거,1812379
2009,발생건수,2020209
2009,검거,1811917
2010,발생건수,1784953
2010,검거,1514098
2011,발생건수,1752598
2011,검거,1382463
2012,발생건수,1793400
2012,검거,1370121
2013,발생건수,1857276
2013,검거,1420658
2014,발생건수,1778966
2014,검거,1392112
2015,발생건수,1861657
2015,검거,1500234
2016,발생건수,1849450
2016,검거,1552455
2017,발생건수,1662341
2017,검거,1413717
