year,발생건수,검거,검거율
1990,1147752,1049005,91.39648635
1991,1185648,1090413,91.96768349
1992,1210786,1107818,91.49577217
1993,1304349,1248010,95.68068055
1994,1309326,1184208,90.44409108
1995,1329694,1202059,90.40117501
1996,1419811,1287260,90.66417995
1997,1536652,1398384,91.00199655
1998,1712233,1579728,92.26127519
1999,1654064,1574902,95.21409087
2000,1739558,1543219,88.71328234
2001,1860687,1642118,88.25331719
2002,1833271,1694342,92.42179689
2003,1894762,1679249,88.6258538
2004,1968183,1761590,89.50336427
2005,1733122,1512247,87.25565771
2006,1719075,1483011,86.26796388
2007,1836496,1615093,87.94426996
2008,2063737,1812379,87.82025035
2009,2020209,1811917,89.68958162
2010,1784953,1514098,84.82565087
2011,1752598,1382463,78.88078156
2012,1793400,1370121,76.39795918
2013,1857276,1420658,76.49148538
2014,1778966,1392112,78.25399698
2015,1861657,1500234,80.58595112
2016,1849450,1552455,83.94144205
2017,1662341,1413717,85.04374253
